,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
372,NANO EQUIPMENT PTE. LTD.,17,,,,
373,Espore Corp Pte Ltd,16,,,,
374,Setelco Communications Pte. Ltd.,16,,,,
375,NCR,16,,,,
376,GMO GlobalSign Pte Ltd,16,,,,
377,Paxos,16,,,,
378,IBM Corporation - Singapore,16,,,Yes,
379,ASSURANCE TECHNOLOGY PTE LTD,16,,,,
380,Hypergrowth Academy,16,,,,
381,WIRECARD SINGAPORE PTE. LTD.,16,,,,
382,Strategic Asia Pte Ltd,16,,,,
383,Bitmain Singapore,16,,,,
384,Accellion Pte Ltd,16,,,,
385,IQ DYNAMICS PTE LTD,16,,,,
386,"Bio-Rad Laboratories, Inc.",16,,,,
387,ORACLE FINANCIAL SERVICES SOFTWARE PTE. LTD.,16,,,Yes,
388,IT SUREWERKS (S) PTE LTD,16,,,,
389,KEYDENCE SYSTEMS PTE. LTD.,16,,,,
390,TIMES SOFTWARE PTE LTD,16,,,,
391,ATT System,16,,,,
392,StaffAny,16,,,,
393,RED HAT ASIA PACIFIC PTE LTD,15,,,,
394,INOK SYSTEMS PTE LTD,15,,,,
395,NEXTAN PTE LTD,15,,,,
396,CHUGAI PHARMABODY RESEARCH PTE. LTD.,15,,,,
397,INFO LAB PTE. LTD.,15,,,,
398,ZEEMART PTE. LTD.,15,,,,
399,Zscaler,15,,,,
400,Zencode Technologies Pte Ltd,15,,,,
401,ELECTRIC8 PTE. LTD.,15,,,,
402,STARHUB LTD.,15,,,,
403,Diebold Nixdorf Pte Ltd,15,,,,
404,PURE STORAGE SINGAPORE PTE. LIMITED,15,,,,
405,TECH MAHINDRA (SINGAPORE) PTE. LIMITED,15,,,,
406,Acer Computer Singapore Pte Ltd,15,,,,
407,Movel AI,15,,,,
408,Guardian,15,,,,
409,Microcool Technologies Pte Ltd,15,,,,
410,Kpler,14,,,,
411,TEMASYS COMMUNICATIONS PTE. LTD.,14,,,,
412,Trakomatic Pte Ltd,14,,,,
413,ECS Techno-Sys (Asia Pacific) Pte Ltd,14,,,,
414,NTT SINGAPORE PTE. LTD.,14,,,,
415,COACH OPERATIONS SINGAPORE PTE. LTD.,14,,,,
416,GoPurpose,14,,,,
417,Masstron Pte Ltd,14,,,,
418,SHIMADZU (ASIA PACIFIC) PTE LTD,14,,,,
419,Mellanox Technologies,14,,,,
420,Vertiv (Singapore) Pte Ltd,14,,,,
421,Semnet Pte Ltd,14,,,,
422,Quantcast,14,,,,
423,MicroStrategy,14,,,,
424,AsiaPay Payment Service Pte Ltd,14,,,,
425,GETRONICS SOLUTIONS (S) PTE LTD,14,,,,
426,GREEN RADAR (SINGAPORE) PTE. LTD.,14,,,,
427,AB SCIEX PTE. LTD.,14,,,,
428,M1 SHOP PTE LTD,14,,,,
429,DREA,14,,,,
430,"Love, Bonito",14,,,,
431,Malifax Technologies (S) Pte Ltd,14,,,,
432,QUEST TECHNOLOGY SYSTEMS SINGAPORE PTE. LTD.,13,,,,
433,Circles Life,13,,,,
434,QUEST TECHNOLOGY (S) PTE LTD,13,,,,
435,Seed System Pte Ltd.,13,,,,
436,LYNX ANALYTICS PTE. LTD.,13,,,,
437,Leisure Pass Group,13,,,,
438,CODA PAYMENTS PTE. LTD.,13,,,,
439,Cellebrite,13,,,,
440,Creative eWorld Pte Ltd,13,,,,
441,Comnet Systems Pte Ltd,13,,,,
442,Zumata,13,,,,
443,Affinite,13,,,,
444,LINKSURE NETWORK HOLDING PTE. LIMITED,13,,,,
445,SAFIRO PTE LTD,13,,,,
446,SOL59,13,,,,
447,SECUR SOLUTIONS GROUP PTE. LTD.,13,,,,
448,Appz Inc Pte Ltd,13,,,,
449,SWIFT,13,,,,
